"date","Current_Reported_Infected_Mean","Current_Reported_Infected_Upper_CI","Current_Reported_Infected_Lower_CI","Current_Unreported_Infected_Mean","Current_Unreported_Infected_Upper_CI","Current_Unreported_Infected_Lower_CI","Total_Current_Cases_Mean","Total_Current_Cases_Upper_CI","Total_Current_Cases_Lower_CI","Cum_Reported_Cases_Mean","Cum_Reported_Cases_Upper_CI","Cum_Reported_Cases_Lower_CI","Cum_Unreported_Cases_Mean","Cum_Unreported_Cases_Upper_CI","Cum_Unreported_Cases_Lower_CI","Total_Cum_Cases_Mean","Total_Cum_Cases_Upper_CI","Total_Cum_Cases_Lower_CI","Total_Reported_Deceased_Mean","Total_Reported_Deceased_Upper_CI","Total_Reported_Deceased_Lower_CI","Total_Unreported_Deceased_Mean","Total_Unreported_Deceased_Upper_CI","Total_Unreported_Deceased_Lower_CI","Total_Deceased_Mean","Total_Deceased_Upper_CI","Total_Deceased_Lower_CI","place"
2020-04-14,6594,6921,6306,26952,28211,25822,33546,35132,32128,9324,9798,8902,43999,45835,42301,53323,55633,51203,48,62,33,87,105,68,135,167,101,"India"
2020-04-15,7814,8210,7468,30403,31770,29107,38217,39980,36575,10916,11465,10419,49781,51802,47836,60697,63267,58255,54,68,40,98,116,80,152,184,120,"India"
2020-04-16,8854,9287,8463,33157,34706,31737,42011,43993,40200,12393,13000,11837,55151,57463,52970,67544,70463,64807,61,78,47,110,132,91,171,210,138,"India"
2020-04-17,9769,10234,9342,35440,37057,33923,45209,47291,43265,13804,14467,13184,60278,62784,57886,74082,77251,71070,70,86,55,124,146,104,194,232,159,"India"
2020-04-18,10600,11090,10140,37419,39176,35827,48019,50266,45967,15184,15897,14520,65288,68024,62671,80472,83921,77191,79,96,63,139,165,118,218,261,181,"India"
2020-04-19,11376,11895,10908,39215,41064,37478,50591,52959,48386,16557,17327,15860,70276,73261,67413,86833,90588,83273,89,106,72,155,181,133,244,287,205,"India"
2020-04-20,12121,12670,11599,40902,42890,39070,53023,55560,50669,17943,18771,17158,75304,78583,72208,93247,97354,89366,100,120,81,173,200,149,273,320,230,"India"
2020-04-21,12849,13422,12304,42532,44548,40647,55381,57970,52951,19353,20247,18523,80407,83835,77105,99760,104082,95628,112,132,92,191,220,165,303,352,257,"India"
2020-04-22,13565,14214,12993,44154,46227,42185,57719,60441,55178,20790,21788,19913,85636,89282,82113,106426,111070,102026,124,145,103,210,240,182,334,385,285,"India"
2020-04-23,14281,14948,13701,45787,48042,43687,60068,62990,57388,22265,23308,21354,91002,94980,87205,113267,118288,108559,137,160,114,229,263,198,366,423,312,"India"
2020-04-24,15000,15676,14407,47457,49811,45271,62457,65487,59678,23785,24867,22819,96535,100796,92490,120320,125663,115309,150,176,126,250,287,218,400,463,344,"India"
2020-04-25,15727,16431,15116,49168,51601,46891,64895,68032,62007,25356,26507,24333,102247,106733,97946,127603,133240,122279,165,191,139,271,310,238,436,501,377,"India"
2020-04-26,16471,17155,15820,50947,53470,48554,67418,70625,64374,26983,28147,25884,108159,112957,103592,135142,141104,129476,180,206,153,293,333,259,473,539,412,"India"
2020-04-27,17229,17974,16527,52780,55421,50296,70009,73395,66823,28667,29935,27478,114278,119388,109389,142945,149323,136867,196,222,167,316,356,280,512,578,447,"India"
2020-04-28,18005,18792,17283,54686,57398,52040,72691,76190,69323,30408,31778,29174,120616,126025,115387,151024,157803,144561,212,240,183,341,383,306,553,623,489,"India"
2020-04-29,18799,19648,18032,56672,59531,53932,75471,79179,71964,32213,33668,30892,127188,133017,121697,159401,166685,152589,229,259,196,366,408,329,595,667,525,"India"
2020-04-30,19619,20494,18828,58743,61673,55844,78362,82167,74672,34089,35642,32699,134003,140178,128115,168092,175820,160814,248,279,214,392,437,354,640,716,568,"India"
2020-05-01,20464,21378,19630,60891,64034,57834,81355,85412,77464,36036,37663,34561,141066,147649,134798,177102,185312,169359,266,298,232,420,464,380,686,762,612,"India"
2020-05-02,21331,22323,20478,63135,66352,59941,84466,88675,80419,38054,39792,36523,148401,155357,141756,186455,195149,178279,286,319,250,448,500,408,734,819,658,"India"
2020-05-03,22228,23260,21314,65486,68919,62185,87714,92179,83499,40147,41991,38502,156020,163497,148999,196167,205488,187501,306,342,268,478,533,436,784,875,704,"India"
2020-05-04,23054,24101,22126,68026,71529,64558,91080,95630,86684,42222,44117,40505,164021,171847,156614,206243,215964,197119,328,362,288,508,563,463,836,925,751,"India"
2020-05-05,24116,25201,23125,71464,75229,67775,95580,100430,90900,44581,46568,42746,173137,181516,165271,217718,228084,208017,350,388,311,540,597,494,890,985,805,"India"
2020-05-06,25388,26528,24329,75622,79462,71703,101010,105990,96032,47208,49304,45244,183257,192020,174853,230465,241324,220097,373,413,331,574,633,521,947,1046,852,"India"
2020-05-07,26833,28017,25711,80382,84400,76210,107215,112417,101921,50076,52272,47995,194333,203681,185343,244409,255953,233338,397,438,354,609,673,559,1006,1111,913,"India"
2020-05-08,28436,29688,27208,85670,89937,81385,114106,119625,108593,53185,55522,50973,206339,216248,196914,259524,271770,247887,423,466,380,646,710,597,1069,1176,977,"India"
2020-05-09,30194,31487,28905,91449,95920,86887,121643,127407,115792,56540,58987,54198,219284,229788,209218,275824,288775,263416,450,496,404,687,748,631,1137,1244,1035,"India"
2020-05-10,32103,33491,30707,97709,102491,92764,129812,135982,123471,60147,62761,57622,233189,244352,222337,293336,307113,279959,479,529,431,728,790,670,1207,1319,1101,"India"
2020-05-11,34166,35625,32690,104442,109560,99219,138608,145185,131909,64012,66768,61350,248101,259890,236609,312113,326658,297959,510,560,461,774,838,713,1284,1398,1174,"India"
2020-05-12,36387,37968,34816,111673,117059,106080,148060,155027,140896,68152,71092,65293,264078,276518,251815,332230,347610,317108,543,594,491,821,887,761,1364,1481,1252,"India"
2020-05-13,38769,40526,37075,119416,125153,113549,158185,165679,150624,72577,75721,69548,281180,294401,268208,353757,370122,337756,578,634,526,873,941,809,1451,1575,1335,"India"
2020-05-14,41339,43184,39495,127711,133674,121490,169050,176858,160985,77323,80688,73995,299480,313470,285763,376803,394158,359758,616,669,564,928,1000,861,1544,1669,1425,"India"
2020-05-15,44091,46092,42142,136571,142954,130060,180662,189046,172202,82392,86030,78848,319047,333955,304508,401439,419985,383356,655,715,599,987,1057,912,1642,1772,1511,"India"
2020-05-16,47039,49100,44986,146040,152784,139090,193079,201884,184076,87816,91620,84074,339976,355736,324478,427792,447356,408552,698,758,637,1050,1126,969,1748,1884,1606,"India"
2020-05-17,50196,52484,47961,156171,163425,148879,206367,215909,196840,93615,97786,89583,362352,379131,345825,455967,476917,435408,743,807,680,1116,1195,1035,1859,2002,1715,"India"
2020-05-18,52018,54337,49740,168520,176349,160587,220538,230686,210327,98256,102579,94064,387814,405790,370153,486070,508369,464217,790,855,728,1188,1273,1108,1978,2128,1836,"India"
2020-05-19,53953,56419,51568,180908,189251,172394,234861,245670,223962,103107,107716,98696,414399,433460,395431,517506,541176,494127,840,907,775,1265,1356,1177,2105,2263,1952,"India"
2020-05-20,56013,58500,53537,193523,202310,184456,249536,260810,237993,108197,112951,103585,442291,462285,422187,550488,575236,525772,892,962,820,1345,1444,1259,2237,2406,2079,"India"
2020-05-21,58226,60782,55638,206540,215893,196956,264766,276675,252594,113560,118513,108740,471693,493021,450263,585253,611534,559003,946,1020,873,1431,1529,1334,2377,2549,2207,"India"
2020-05-22,60615,63239,57938,220025,230050,209932,280640,293289,267870,119217,124410,114181,502704,525489,480026,621921,649899,594207,1001,1075,930,1522,1625,1422,2523,2700,2352,"India"
2020-05-23,63195,65926,60317,234102,244787,223478,297297,310713,283795,125198,130635,119829,535486,559739,511495,660684,690374,631324,1059,1135,985,1618,1725,1515,2677,2860,2500,"India"
2020-05-24,65982,68839,62950,248838,260029,237626,314820,328868,300576,131533,137271,125878,570159,595783,544589,701692,733054,670467,1119,1194,1039,1719,1830,1610,2838,3024,2649,"India"
2020-05-25,68976,71917,65855,264331,276067,252295,333307,347984,318150,138229,144144,132305,606868,633985,579518,745097,778129,711823,1182,1269,1098,1826,1946,1717,3008,3215,2815,"India"
2020-05-26,72187,75326,69023,280618,293020,268318,352805,368346,337341,145310,151516,139200,645718,674344,617239,791028,825860,756439,1248,1337,1164,1939,2061,1823,3187,3398,2987,"India"
2020-05-27,75632,78892,72402,297750,310638,284745,373382,389530,357147,152809,159292,146409,686839,717156,656614,839648,876448,803023,1317,1408,1229,2059,2190,1937,3376,3598,3166,"India"
2020-05-28,79323,82715,76102,315804,329329,301942,395127,412044,378044,160746,167543,154194,730375,762349,698261,891121,929892,852455,1389,1483,1295,2184,2316,2062,3573,3799,3357,"India"
2020-05-29,83277,86797,79850,334844,348932,320230,418121,435729,400080,169151,176283,162154,776454,809940,742448,945605,986223,904602,1464,1565,1369,2318,2451,2190,3782,4016,3559,"India"
2020-05-30,87493,91198,83832,354933,369992,339361,442426,461190,423193,178042,185568,170622,825233,860749,789188,1003275,1046317,959810,1544,1647,1442,2458,2597,2328,4002,4244,3770,"India"
2020-05-31,91994,95965,88110,376123,392150,359774,468117,488115,447884,187452,195408,179706,876864,914799,838832,1064316,1110207,1018538,1627,1731,1518,2608,2752,2466,4235,4483,3984,"India"
2020-06-01,95765,99989,91757,399484,416643,382097,495249,516632,473854,196391,204793,188355,932508,972804,891896,1128899,1177597,1080251,1715,1824,1601,2765,2917,2620,4480,4741,4221,"India"
2020-06-02,99318,103751,95117,420712,438561,402599,520030,542312,497716,205326,214186,196928,988060,1030453,945246,1193386,1244639,1142174,1807,1921,1689,2932,3083,2776,4739,5004,4465,"India"
2020-06-03,102749,107240,98432,440606,459582,421652,543355,566822,520084,214333,223426,205687,1044149,1089362,999024,1258482,1312788,1204711,1901,2019,1780,3107,3270,2947,5008,5289,4727,"India"
2020-06-04,106159,110905,101682,459760,479175,439809,565919,590080,541491,223510,233102,214395,1101226,1148239,1053639,1324736,1381341,1268034,1999,2121,1871,3289,3456,3123,5288,5577,4994,"India"
2020-06-05,109577,114521,104802,478601,498742,457936,588178,613263,562738,232886,243003,223239,1159648,1208962,1110126,1392534,1451965,1333365,2100,2222,1975,3479,3654,3301,5579,5876,5276,"India"
2020-06-06,113072,118202,108172,497377,518474,476037,610449,636676,584209,242528,253067,232463,1219661,1271650,1167884,1462189,1524717,1400347,2205,2336,2069,3676,3862,3492,5881,6198,5561,"India"
2020-06-07,116657,121852,111547,516302,538362,494009,632959,660214,605556,252457,263337,241927,1281455,1336277,1226939,1533912,1599614,1468866,2313,2447,2171,3881,4071,3693,6194,6518,5864,"India"
2020-06-08,120355,125731,114929,535560,558430,512616,655915,684161,627545,262703,273949,251639,1345216,1402536,1288159,1607919,1676485,1539798,2424,2564,2289,4093,4288,3894,6517,6852,6183,"India"
2020-06-09,124173,129590,118610,555211,578586,531510,679384,708176,650120,273281,284890,261787,1411058,1471207,1351187,1684339,1756097,1612974,2539,2674,2398,4313,4513,4107,6852,7187,6505,"India"
2020-06-10,128131,133779,122409,575337,600033,550778,703468,733812,673187,284210,296330,272191,1479082,1542594,1416030,1763292,1838924,1688221,2658,2801,2510,4541,4749,4313,7199,7550,6823,"India"
2020-06-11,132238,138059,126346,596080,621493,570434,728318,759552,696780,295512,308115,283111,1549463,1615951,1482781,1844975,1924066,1765892,2780,2934,2619,4776,4995,4548,7556,7929,7167,"India"
2020-06-12,136516,142565,130586,617441,643589,590446,753957,786154,721032,307209,320357,294489,1622258,1691441,1551991,1929467,2011798,1846480,2906,3053,2746,5022,5260,4780,7928,8313,7526,"India"
2020-06-13,140952,147284,134740,639477,666448,611552,780429,813732,746292,319304,333136,306007,1697578,1769640,1623791,2016882,2102776,1929798,3036,3189,2871,5274,5518,5019,8310,8707,7890,"India"
