"date","Current_Reported_Infected_Mean","Current_Reported_Infected_Upper_CI","Current_Reported_Infected_Lower_CI","Current_Untested_Infected_Mean","Current_Untested_Infected_Upper_CI","Current_Untested_Infected_Lower_CI","Current_False_Negative_Mean","Current_False_Negative_Upper_CI","Current_False_Negative_Lower_CI","Total_Reported_Recovered_Mean","Total_Reported_Recovered_Upper_CI","Total_Reported_Recovered_Lower_CI","Total_Reported_Deceased_Mean","Total_Reported_Deceased_Upper_CI","Total_Reported_Deceased_Lower_CI","Total_Unreported_Recovered_Mean","Total_Unreported_Recovered_Upper_CI","Total_Unreported_Recovered_Lower_CI","Total_Unreported_Deceased_Mean","Total_Unreported_Deceased_Upper_CI","Total_Unreported_Deceased_Lower_CI","place"
2020-06-30,247499,258376,236725,1020770,1065987,974790,128867,134507,123231,349509,365046,335702,6050,6360,5752,2302980,2400519,2201452,11211,11716,10723,"India"
2020-07-01,254119,264987,243286,1058999,1106006,1011543,132500,138210,126704,363161,379388,348707,6286,6608,5968,2401841,2503678,2295931,11679,12211,11167,"India"
2020-07-02,261254,272362,250326,1099598,1148415,1051250,136382,142294,130442,377184,394064,362046,6530,6863,6206,2504335,2610770,2393562,12164,12725,11599,"India"
2020-07-03,268897,280402,257873,1142310,1193357,1092554,140481,146574,134398,391591,409062,375911,6780,7129,6444,2610704,2721809,2495081,12665,13244,12083,"India"
2020-07-04,277023,288814,265562,1186887,1239424,1135011,144809,151214,138522,406423,424665,390089,7036,7391,6695,2721154,2837147,2600614,13184,13785,12578,"India"
2020-07-05,285617,297834,273822,1233268,1287966,1179963,149357,155879,142941,421700,440566,404650,7300,7672,6940,2835891,2957074,2710329,13722,14342,13107,"India"
2020-07-06,294670,307329,282397,1281398,1337871,1225645,154134,160855,147431,437445,456905,419719,7573,7948,7203,2955068,3081324,2824178,14279,14912,13640,"India"
2020-07-07,304152,317237,291550,1331360,1390258,1273696,159122,166008,152277,453702,473800,435463,7856,8252,7459,3078832,3210415,2942215,14856,15517,14194,"India"
2020-07-08,314109,327383,301189,1383133,1444280,1323021,164333,171430,157358,470482,491281,451628,8146,8552,7737,3207427,3345163,3064597,15454,16144,14766,"India"
2020-07-09,324525,338319,311249,1436700,1499665,1373880,169794,177092,162516,487810,509256,468205,8445,8863,8038,3340957,3484258,3192647,16074,16805,15374,"India"
2020-07-10,335424,349649,321935,1492220,1557668,1427174,175473,183016,168008,505708,527836,485440,8755,9198,8339,3479590,3629432,3325451,16719,17460,15990,"India"
2020-07-11,346811,361690,332839,1549662,1617554,1482620,181398,189026,173566,524210,546951,503097,9076,9521,8648,3623563,3779496,3463005,17385,18158,16626,"India"
2020-07-12,358683,374044,344309,1609139,1678968,1539204,187573,195479,179438,543340,566954,521575,9408,9867,8975,3773071,3935262,3606138,18078,18878,17270,"India"
2020-07-13,371058,386615,356076,1670741,1743588,1598466,194002,202202,185594,563129,587564,540496,9751,10233,9306,3928252,4097084,3754587,18797,19623,17951,"India"
2020-07-14,383956,400060,368229,1734434,1809508,1659703,200699,209193,192081,583598,608709,560054,10104,10609,9645,4089397,4264710,3909025,19539,20384,18649,"India"
2020-07-15,397397,414026,381291,1800375,1878285,1723240,207673,216413,198844,604776,630905,580319,10470,10998,9994,4256657,4439542,4069365,20313,21186,19400,"India"
2020-07-16,411385,428385,394517,1868702,1950566,1788770,214906,223924,205895,626690,653510,601482,10850,11394,10362,4430236,4619602,4235611,21109,22044,20140,"India"
2020-07-17,425936,443408,408724,1939403,2024408,1857246,222439,231785,212993,649378,677120,623153,11244,11799,10732,4610370,4807850,4407992,21940,22882,20939,"India"
2020-07-18,441070,459279,423310,2012657,2100921,1928128,230290,240119,220247,672869,701473,645782,11649,12227,11122,4797274,5002360,4587202,22798,23789,21794,"India"
2020-07-19,456813,475614,438251,2088510,2179973,2001126,238413,248589,228057,697200,726884,669108,12070,12669,11545,4991224,5204578,4772865,23692,24726,22638,"India"
2020-07-20,473140,492506,453951,2166980,2261351,2076296,246860,257398,236151,722397,753167,693335,12506,13111,11969,5192487,5415024,4965811,24615,25678,23524,"India"
