"date","Current_Reported_Infected_Mean","Current_Reported_Infected_Upper_CI","Current_Reported_Infected_Lower_CI","Current_Untested_Infected_Mean","Current_Untested_Infected_Upper_CI","Current_Untested_Infected_Lower_CI","Current_False_Negative_Mean","Current_False_Negative_Upper_CI","Current_False_Negative_Lower_CI","Total_Reported_Recovered_Mean","Total_Reported_Recovered_Upper_CI","Total_Reported_Recovered_Lower_CI","Total_Reported_Deceased_Mean","Total_Reported_Deceased_Upper_CI","Total_Reported_Deceased_Lower_CI","Total_Unreported_Recovered_Mean","Total_Unreported_Recovered_Upper_CI","Total_Unreported_Recovered_Lower_CI","Total_Unreported_Deceased_Mean","Total_Unreported_Deceased_Upper_CI","Total_Unreported_Deceased_Lower_CI","place"
2020-07-21,490105,510335,470309,2248241,2345954,2154832,255643,266473,244684,748495,780350,718518,12958,13575,12391,5401276,5633038,5165801,25573,26681,24436,"India"
2020-07-22,507722,528792,487338,2332477,2433768,2236276,264767,275985,253302,775539,808536,744343,13426,14082,12826,5617883,5859381,5373101,26564,27716,25389,"India"
2020-07-23,526010,548126,505098,2419641,2524380,2320068,274227,285887,262442,803554,837481,771237,13910,14578,13293,5842570,6093983,5588688,27594,28774,26347,"India"
2020-07-24,545026,567918,523245,2509984,2617556,2406314,284064,296281,271804,832562,867807,799113,14412,15121,13786,6075630,6337376,5812484,28660,29909,27373,"India"
2020-07-25,564779,588761,542051,2603429,2714647,2495820,294271,306654,281373,862627,899255,828131,14933,15639,14277,6317399,6589547,6044180,29768,31051,28441,"India"
2020-07-26,585270,610097,561455,2700275,2814862,2588814,304864,317704,291666,893781,931621,857953,15473,16181,14811,6568141,6851447,6285004,30917,32252,29555,"India"
2020-07-27,606514,632180,581342,2800550,2919493,2684134,315842,329250,302303,926067,965188,888991,16034,16762,15337,6828199,7122598,6534755,32108,33468,30672,"India"
2020-07-28,628552,655198,602342,2904435,3028026,2783913,327243,341189,313182,959530,999989,921053,16614,17376,15893,7097894,7403852,6793418,33340,34766,31867,"India"
2020-07-29,651420,679361,624657,3011987,3140056,2888060,339058,353487,324660,994219,1035854,954313,17214,17996,16477,7377595,7695281,7061593,34622,36097,33118,"India"
2020-07-30,675156,704455,647023,3123352,3254974,2994640,351329,366367,336394,1030143,1073404,989129,17837,18645,17068,7667621,7996669,7339848,35945,37449,34388,"India"
2020-07-31,699720,730217,670694,3238735,3375175,3104509,364047,379763,348754,1067380,1112178,1024862,18483,19327,17702,7968367,8309589,7628310,37318,38866,35702,"India"
2020-08-01,726036,757437,696001,3357044,3499008,3217754,377594,394077,361910,1105984,1152517,1061967,19153,20019,18354,8280222,8636092,7927615,38744,40385,37065,"India"
2020-08-02,748674,781157,717824,3450446,3596394,3306428,389668,406754,373469,1146025,1194015,1100035,19846,20733,19032,8603484,8974341,8238089,40219,41909,38474,"India"
2020-08-03,768648,801990,737183,3526455,3675741,3379608,400677,418224,384133,1187323,1237097,1139501,20559,21476,19701,8935780,9320743,8555803,41740,43477,39952,"India"
2020-08-04,786679,820691,754651,3590282,3741356,3440908,410877,428723,394014,1229742,1281015,1180244,21293,22228,20394,9275520,9675095,8881850,43298,45106,41470,"India"
2020-08-05,803315,837968,770814,3645704,3798531,3494063,420516,438993,403397,1273138,1326242,1221992,22044,23027,21110,9621489,10034985,9213475,44889,46773,42992,"India"
2020-08-06,818916,854035,785508,3695290,3851158,3541232,429698,448565,412022,1317445,1372729,1264452,22810,23844,21850,9972920,10400441,9550881,46511,48454,44567,"India"
2020-08-07,833753,869417,799766,3741089,3897907,3585135,438563,457814,420574,1362611,1419864,1307558,23594,24646,22600,10329244,10771182,9893198,48154,50165,46122,"India"
2020-08-08,848040,884238,813485,3784297,3944124,3626629,447194,466766,429095,1408588,1467853,1351642,24391,25469,23375,10690130,11146718,10238805,49829,51939,47724,"India"
2020-08-09,861897,898706,826746,3825913,3987294,3666757,455631,475294,437178,1455361,1516609,1396521,25202,26320,24185,11055300,11526200,10589207,51525,53703,49378,"India"
2020-08-10,875417,912858,839532,3866610,4030396,3706439,463927,484040,445357,1502898,1565954,1442252,26027,27169,24995,11424612,11911180,10943074,53242,55499,51005,"India"
2020-08-11,888689,926599,852492,3906958,4072748,3745273,472120,492235,453173,1551193,1616273,1488517,26862,28050,25817,11797934,12299851,11300782,54985,57317,52688,"India"
2020-08-12,901794,940160,865576,3947126,4114983,3783007,480237,500494,460689,1600210,1667504,1535214,27710,28923,26625,12175317,12692973,11662625,56749,59182,54350,"India"
2020-08-13,914783,953625,878175,3987402,4157441,3821304,488268,508773,468552,1649934,1719132,1582934,28572,29825,27470,12556766,13090025,12028067,58537,61052,56032,"India"
