a1$Date	cumulative_reported_cases	cumulative_unreported_cases	cumulative_removed
2020-08-24	3198478	233509710	220354086
2020-08-25	3269465	239044953	225912578
2020-08-26	3340684	244573041	231486395
2020-08-27	3412067	250086380	237067936
2020-08-28	3483551	255577418	242649503
2020-08-29	3555091	261038846	248223463
2020-08-30	3626629	266463520	253782356
2020-08-31	3698101	271844645	259318698
2020-09-01	3780044	277165064	264825289
2020-09-02	3861835	282429221	270295116
2020-09-03	3944946	287861450	275721040
2020-09-04	4029629	293498107	281176471
2020-09-05	4115722	299318744	286722163
2020-09-06	4203022	305295062	292390855
2020-09-07	4291345	311403841	298194184
2020-09-08	4380548	317627218	304131773
2020-09-09	4470507	323950108	310197094
2020-09-10	4561112	330358525	316380641
2020-09-11	4652236	336838144	322671422
2020-09-12	4743758	343374136	329057234
2020-09-13	4835544	349950984	335524920
2020-09-14	4927469	356552364	342060442
2020-09-15	5019404	363161849	348648980
2020-09-16	5111191	369762529	355275099
2020-09-17	5202708	376337664	361922846
2020-09-18	5293816	382870806	368575883
2020-09-19	5384389	389345842	375217897
2020-09-20	5474302	395747362	381832554
2020-09-21	5563422	402060904	388403781
2020-09-22	5651647	408272731	394916038
2020-09-23	5738864	414370472	401354382
2020-09-24	5824982	420342787	407704741
2020-09-25	5909910	426179716	413953901
2020-09-26	5993580	431872637	420089849
2020-09-27	6075923	437414227	426101597
2020-09-28	6156871	442798563	431979471
2020-09-29	6236392	448021028	437714974
2020-09-30	6314453	453078185	443301071
2020-10-01	6390641	457968184	448731865
2020-10-02	6465184	462689727	454002736
2020-10-03	6539359	467421875	459110241
2020-10-04	6613329	472190793	464114441
2020-10-05	6686922	476975495	469063555
2020-10-06	6759922	481748450	473981945
2020-10-07	6832140	486486702	478875924
2020-10-08	6903443	491173046	483741718
2020-10-09	6973726	495794276	488570884
2020-10-10	7042892	500339822	493353212
2020-10-11	7110869	504800595	498078435
2020-10-12	7177593	509168595	502736677
2020-10-13	7243000	513436849	507318637
2020-10-14	7307043	517599096	511815766
2020-10-15	7369680	521650023	516220400
2020-10-16	7430867	525585238	520525620
2020-10-17	7490582	529401158	524725373
2020-10-18	7548803	533095122	528814408
2020-10-19	7605512	536665262	532788450
2020-10-20	7660703	540110498	536643919
2020-10-21	7714381	543430563	540378188
2020-10-22	7766550	546625704	543989434
2020-10-23	7817223	549696872	547476500
2020-10-24	7866412	552645599	550839031
2020-10-25	7914140	555473770	554077224
2020-10-26	7960427	558183777	557191987
2020-10-27	8005306	560778348	560184625
2020-10-28	8048804	563260534	563057033
2020-10-29	8090950	565633498	565811471
2020-10-30	8131784	567900700	568450513
2020-10-31	8171336	570065666	570977025
2020-11-01	8209637	572132087	573394126
2020-11-02	8246733	574103595	575705157
2020-11-03	8282656	575983984	577913550
2020-11-04	8317442	577776969	580022901
2020-11-05	8351134	579486178	582036840
2020-11-06	8383762	581115295	583958979
2020-11-07	8415366	582667887	585792986
2020-11-08	8445980	584147406	587542532
2020-11-09	8475637	585557271	589211169
2020-11-10	8504373	586900749	590802438
2020-11-11	8532218	588181014	592319792
2020-11-12	8559204	589401140	593766614
2020-11-13	8585362	590564075	595146155
2020-11-14	8610727	591672620	596461626
2020-11-15	8635324	592729486	597716031
2020-11-16	8659180	593737243	598912356
2020-11-17	8682322	594698397	600053363
2020-11-18	8704778	595615274	601141836
2020-11-19	8726570	596490106	602180322
2020-11-20	8747720	597325041	603171341
2020-11-21	8768256	598122113	604117229
2020-11-22	8788197	598883237	605020269
2020-11-23	8807566	599610221	605882604
2020-11-24	8826384	600304802	606706276
2020-11-25	8844666	600968647	607493214
2020-11-26	8862432	601603286	608245264
2020-11-27	8879704	602210181	608964206
2020-11-28	8896493	602790740	609651669
2020-11-29	8912820	603346282	610309254
2020-11-30	8928701	603878076	610938437
2020-12-01	8944147	604387279	611540646
2020-12-02	8959175	604875005	612117202
2020-12-03	8973801	605342314	612669392
2020-12-04	8988035	605790227	613198403
2020-12-05	9001889	606219661	613705385
2020-12-06	9015379	606631524	614191395
2020-12-07	9028515	607026659	614657455
2020-12-08	9041307	607405885	615104532
2020-12-09	9053768	607769943	615533558
2020-12-10	9065906	608119551	615945365
2020-12-11	9077731	608455382	616340786
2020-12-12	9089253	608778098	616720585
2020-12-13	9100483	609088300	617085491
2020-12-14	9111429	609386567	617436213
2020-12-15	9122099	609673458	617773409
2020-12-16	9132504	609949466	618097684
2020-12-17	9142647	610215092	618409651
2020-12-18	9152539	610470813	618709849
2020-12-19	9162186	610717048	618998818
2020-12-20	9171598	610954243	619277064
2020-12-21	9180777	611182788	619545058
2020-12-22	9189734	611403044	619803256
2020-12-23	9198472	611615385	620052082
2020-12-24	9207001	611820143	620291947
2020-12-25	9215322	612017649	620523239
2020-12-26	9223445	612208209	620746316
2020-12-27	9231373	612392103	620961546
2020-12-28	9239112	612569615	621169252
2020-12-29	9246667	612741025	621369733
2020-12-30	9254042	612906562	621563312
2020-12-31	9261243	613066478	621750263
