area,date,Rt Mean,UpperCI Rt,LowerCI Rt,Infections Mean,UpperCI Infections,LowerCI Infections,Total Infections Mean,Total UpperCI Infections,Total LowerCI Infections,ExpDeaths Mean,UpperCI ExpDeaths,LowerCI ExpDeaths,Total ExpDeaths Mean,Total UpperCI ExpDeaths,Total LowerCI ExpDeaths,Observed Deaths
India,03/11/2020,,,,212552,532016,49298,110799360,157243518,81137341,454,797,226,122882,128998,117196,510
India,04/11/2020,,,,207916,525875,46726,111007276,157597015,81183466,441,780,217,123323,129631,117512,707
India,05/11/2020,,,,203416,521858,44268,111210693,157869216,81299264,429,769,204,123752,130277,117784,672
India,06/11/2020,,,,199049,514309,41834,111409743,158206702,81447877,416,761,191,124169,130903,118112,577
India,07/11/2020,,,,194808,509610,39764,111604551,158528741,81536343,407,746,186,124577,131435,118372,557
India,08/11/2020,,,,190691,507088,37708,111795243,159153689,81615779,397,752,180,124975,132029,118634,491
India,09/11/2020,,,,186692,499466,35545,111981935,159694448,81673457,390,744,165,125365,132607,118907,450
India,10/11/2020,,,,182807,495948,33639,112164742,160100419,81779360,377,728,157,125743,133285,119166,511
India,11/11/2020,,,,179034,490810,31811,112343776,160413945,81834363,368,727,149,126112,133903,119402,550
India,12/11/2020,,,,175367,485837,30087,112519144,160776974,81896714,362,727,139,126474,134518,119609,544
India,13/11/2020,,,,171803,481690,28334,112690948,161025190,81987697,350,709,134,126825,135112,119831,517
India,14/11/2020,,,,168340,477842,26681,112859288,161110379,82067603,342,697,124,127167,135698,120035,450
India,15/11/2020,,,,164973,473034,25176,113024261,161361186,82160479,333,700,120,127501,136293,120230,434
India,16/11/2020,,,,161699,467750,23770,113185960,161918637,82216561,324,691,112,127826,136807,120394,451
India,17/11/2020,,,,158515,462318,22511,113344475,162091919,82336026,316,687,107,128142,137434,120554,472
India,18/11/2020,,,,155418,458012,21240,113499894,162551657,82416992,309,678,102,128452,137950,120661,586
India,19/11/2020,,,,152405,452600,20053,113652300,162993560,82457107,301,658,96,128753,138565,120823,582
India,20/11/2020,,,,149474,446937,19000,113801774,163431213,82519045,296,679,91,129049,139241,120931,564
India,21/11/2020,,,,146622,442184,17906,113948396,163812395,82598587,289,656,85,129339,139909,121060,499
India,22/11/2020,,,,143845,437096,16875,114092242,164162823,82669830,281,645,80,129620,140400,121193,510
India,23/11/2020,,,,141142,434035,15965,114233385,164354344,82741997,277,675,76,129897,140925,121335,481
India,24/11/2020,,,,138510,428794,15121,114371895,164639902,82823890,268,626,74,130166,141493,121466,489
India,25/11/2020,,,,135947,424116,14315,114507843,165019370,82866201,264,642,70,130430,141997,121543,518
India,26/11/2020,,,,133450,420630,13518,114641293,165259446,82926460,258,629,66,130689,142626,121641,491
India,27/11/2020,,,,131018,417713,12748,114772311,165386247,82957996,250,603,61,130939,143141,121760,486
India,28/11/2020,,,,128647,413272,12029,114900959,165571089,83009252,246,612,58,131186,143754,121846,495
India,29/11/2020,,,,126337,408166,11377,115027297,165931125,83049069,240,609,54,131426,144432,121908,444
India,30/11/2020,,,,124085,404184,10780,115151383,166057366,83098977,234,591,52,131660,144987,121967,482
India,01/12/2020,,,,121889,399845,10200,115273273,166334148,83121163,230,607,49,131891,145614,122059,501
India,02/12/2020,,,,119748,397214,9600,115393021,166758595,83177845,226,590,46,132117,146166,122127,526
India,03/12/2020,,,,117660,394707,9035,115510681,166831825,83192600,221,590,44,132339,146738,122197,541
India,04/12/2020,,,,115622,391258,8503,115626304,166911705,83200879,215,589,40,132555,147269,122284,511
India,05/12/2020,,,,113633,385873,8028,115739937,167318902,83262635,211,585,39,132766,147816,122338,482
India,06/12/2020,,,,111693,380075,7572,115851631,167430010,83289660,206,571,36,132972,148301,122379,390
India,07/12/2020,,,,109798,376780,7156,115961429,167707796,83338073,203,564,34,133176,148820,122443,386
India,08/12/2020,,,,107948,372710,6771,116069378,167873333,83386868,200,585,33,133376,149255,122491,402
India,09/12/2020,,,,106141,368781,6407,116175519,168322859,83394420,194,554,32,133571,149834,122542,413
India,10/12/2020,,,,104376,365210,6060,116279896,168689726,83401588,190,539,30,133761,150337,122602,411
India,11/12/2020,,,,102652,361141,5715,116382549,168860578,83408394,189,556,28,133951,150883,122649,442
India,12/12/2020,,,,100967,356978,5389,116483516,168941747,83423168,183,535,26,134134,151378,122683,391
India,13/12/2020,,,,99320,352849,5082,116582836,169263156,83482660,180,524,25,134315,151861,122731,338
India,14/12/2020,,,,97709,348772,4793,116680546,169478266,83540338,177,537,24,134493,152411,122779,354
India,15/12/2020,,,,96134,346153,4522,116776680,169569019,83591565,172,526,22,134665,152840,122849,384
India,16/12/2020,,,,94594,343513,4273,116871275,169654431,83649859,168,508,20,134834,153429,122888,356
India,17/12/2020,,,,93087,340081,4043,116964362,169829202,83703881,167,531,19,135001,153882,122913,342
India,18/12/2020,,,,91612,336871,3823,117055974,170232208,83752667,163,514,18,135164,154380,122941,342
India,19/12/2020,,,,90169,332565,3600,117146143,170365249,83792836,160,495,18,135325,154831,122967,342
India,20/12/2020,,,,88756,328594,3406,117234900,170665698,83798587,157,507,17,135482,155243,122993,332
India,21/12/2020,,,,87372,325171,3214,117322272,170753134,83814136,155,507,15,135638,155793,123014,302
India,22/12/2020,,,,86017,320853,3037,117408289,171253095,83832511,151,496,15,135789,156284,123033,329
India,23/12/2020,,,,84689,315776,2865,117492979,171310515,83842120,149,479,14,135938,156744,123066,315
India,24/12/2020,,,,83389,311642,2706,117576368,171501184,83845983,145,481,13,136084,157272,123095,337
India,25/12/2020,,,,82114,308312,2555,117658483,171601343,83849658,144,482,12,136229,157618,123113,251
India,26/12/2020,,,,80864,305673,2413,117739348,171939990,83853155,142,472,11,136371,158010,123135,280
India,27/12/2020,,,,79639,301391,2279,117818988,172245481,83856482,139,459,11,136510,158495,123151,281
India,28/12/2020,,,,78438,298480,2153,117897426,172599968,83859648,136,460,10,136647,158996,123183,250
India,29/12/2020,,,,77260,295558,2034,117974687,172799914,83862660,135,445,10,136783,159500,123211,285
India,30/12/2020,,,,76104,292656,1921,118050791,173100452,83865526,133,457,9,136917,159954,123228,299
India,31/12/2020,,,,74970,289774,1814,118125762,173408509,83868252,129,441,9,137046,160456,123244,244
