date,icm.ctc.estim,icm.ctc.high,icm.ctc.low,icm.ctd.estim,icm.ctd.high,icm.ctd.low,icm.ctc.width,icm.ctd.width
2020-12-22T00:00:00Z,40882227,66428241,25939446,140883,168731,124863,40488795,43868
2020-12-23T00:00:00Z,40938621,66728636,25953941,141126,169659,124893,40774695,44766
2020-12-24T00:00:00Z,40994720,66864881,25955749,141368,170375,124921,40909132,45454
2020-12-25T00:00:00Z,41050534,67166154,25964192,141605,171089,124954,41201962,46135
2020-12-26T00:00:00Z,41106071,67300278,25976887,141840,171885,124985,41323391,46900
2020-12-27T00:00:00Z,41161339,67347366,25983369,142071,172675,125002,41363997,47673
2020-12-28T00:00:00Z,41216347,67474913,25992552,142302,173597,125020,41482361,48577
2020-12-29T00:00:00Z,41271102,67567754,26001494,142531,174450,125029,41566260,49421
2020-12-30T00:00:00Z,41325611,67736070,26010340,142759,175221,125063,41725730,50158
2020-12-31T00:00:00Z,41379882,67875148,26019029,142982,175841,125079,41856119,50762
