date,esir.arc.estim,esir.arc.low,esir.arc.high,esir.crc.estim,esir.crc.low,esir.crc.high,esir.crd.estim,esir.crd.low,esir.crd.high,esir.arc.width,esir.crc.width,esir.crd.width
2020-11-14T00:00:00Z,1202746,667501,1886542,10119538,8163281,12355606,152258,128069,178658,1219041,4192325,50589
2020-11-15T00:00:00Z,1218858,668437,1923684,10231267,8214492,12533199,153890,128929,181053,1255247,4318707,52124
2020-11-16T00:00:00Z,1235232,670011,1963557,10344587,8272261,12722326,155544,129890,183597,1293546,4450065,53707
2020-11-17T00:00:00Z,1251635,670611,2005863,10459450,8330560,12923119,157225,130877,186299,1335252,4592559,55422
2020-11-18T00:00:00Z,1268480,671453,2046000,10575543,8391626,13110149,158919,131907,188802,1374547,4718523,56895
2020-11-19T00:00:00Z,1285651,671337,2087178,10694294,8442835,13311731,160653,132785,191537,1415841,4868896,58752
2020-11-20T00:00:00Z,1302880,673029,2130853,10813777,8502997,13508767,162398,133784,194151,1457824,5005770,60367
2020-11-21T00:00:00Z,1320473,675708,2173903,10935034,8565467,13711503,164167,134807,196872,1498195,5146036,62065
2020-11-22T00:00:00Z,1338318,676135,2216319,11058455,8618405,13929197,165969,135705,199861,1540184,5310792,64156
2020-11-23T00:00:00Z,1356317,678718,2264417,11183139,8680392,14142105,167790,136721,202670,1585699,5461713,65949
2020-11-24T00:00:00Z,1374638,679257,2310222,11309326,8743836,14362692,169631,137796,205649,1630965,5618856,67853
2020-11-25T00:00:00Z,1393146,680505,2357258,11437574,8803965,14594433,171504,138803,208798,1676753,5790468,69995
2020-11-26T00:00:00Z,1411852,682136,2405900,11567563,8865004,14819540,173404,139819,211806,1723764,5954536,71987
2020-11-27T00:00:00Z,1430798,683889,2452718,11698594,8927981,15049516,175316,140866,214929,1768829,6121535,74063
2020-11-28T00:00:00Z,1450100,685480,2502897,11831602,8988067,15292962,177257,141866,218224,1817417,6304895,76358
2020-11-29T00:00:00Z,1469665,686468,2550710,11967228,9050140,15526235,179238,142911,221386,1864242,6476095,78475
2020-11-30T00:00:00Z,1489692,687829,2602642,12104494,9107226,15777158,181239,143864,224777,1914813,6669932,80913
2020-12-01T00:00:00Z,1509733,692131,2652429,12243370,9173138,16019658,183268,144916,228063,1960298,6846520,83147
2020-12-02T00:00:00Z,1530048,693214,2705385,12384484,9237038,16279337,185329,145991,231587,2012171,7042299,85596
2020-12-03T00:00:00Z,1550717,695537,2760553,12526919,9297502,16541800,187408,146985,235121,2065016,7244298,88136
2020-12-04T00:00:00Z,1571648,699485,2816838,12671031,9371621,16811179,189510,148184,238754,2117353,7439558,90570
2020-12-05T00:00:00Z,1592935,700306,2872784,12817001,9429560,17073434,191638,149161,242270,2172478,7643874,93109
2020-12-06T00:00:00Z,1614556,702593,2931957,12965626,9494600,17370955,193805,150234,246334,2229364,7876355,96100
2020-12-07T00:00:00Z,1636412,704570,2988916,13115733,9559166,17643358,195995,151304,250006,2284346,8084192,98702
